EXPBOTRE2000_X,EXPBOTRE2000_Y,EXPTOPRE2000_X,EXPTOPRE2000_Y,EXPBOTRE1500_X,EXPBOTRE1500_Y,EXPTOPRE1500_X,EXPTOPRE1500_Y,EXPBOTRE1000_X,EXPBOTRE1000_Y,EXPTOPRE1000_X,EXPTOPRE1000_Y,EXPBOTRE700_X,EXPBOTRE700_Y,EXPTOPRE700_X,EXPTOPRE700_Y,EXPBOTRE500_X,EXPBOTRE500_Y,EXPTOPRE500_X,EXPTOPRE500_Y
0.892080924855491,12.0060693641619,0.028937700706487,11.9836608863198,0.926766241930414,13.0099857346648,0.026341001958461,12.9885877318117,0.997822084741322,12.5087116610347,0.023975784304718,12.0112366815377,0.945304437564499,10.0184773625545,0.021671826625387,13.9843017355446,0.947370633332419,9.08824255050851,0.0209508667087,15.0475890238219
0.874682080924855,11.0011560693642,0.044770712909441,10.9978034682081,0.902330810706255,12.0042796005706,0.032630443192534,12.0470756062767,0.986224685988858,12.2739051722084,0.03274529621349,10.9563940529301,0.924664602683178,9.00102342749723,0.022703818369453,12.9884939343722,0.937054195564571,8.05189286987034,0.017542513044035,14.5059075084295
0.857287090558767,9.97653179190752,0.034210661528581,10.0124662813102,0.898022498126164,10.9985734664765,0.042091805894727,11.0199714693295,0.949953889450383,12.0383755474564,0.042962781470025,9.96021050912172,0.914344685242518,8.00474459274865,0.030959752321981,11.5365543465694,0.92207754233029,7.0389813317251,0.02459679998538,14.0586638888127
0.853565831727681,9.01077071290944,0.040283879254978,8.94795761078998,0.873590089218792,10.0356633380884,0.040958437099543,9.97146932952925,0.909374904290833,11.0113949206933,0.061886823272386,8.99359046345356,0.905056759545923,7.00850857923427,0.041279669762642,11.0598041356748,0.90593674899714,6.02604238054771,0.023516726518454,13.5170371994846
0.848878612716763,7.98589595375723,0.059041746949261,8.00146435452794,0.868222454604802,9.02995720399429,0.050422822118523,8.98716119828816,0.903625548307181,10.0440517390994,0.089520824613165,7.99791736853388,0.896800825593395,6.01231538695408,0.043343653250774,10.4997238030394,0.907250747005126,5.06061021409578,0.023593483008489,13.0225335124318
0.844187540141297,6.98073217726397,0.097365446371227,6.97574181117534,0.860733153606228,7.98145506419401,0.075777037645978,8.00285306704708,0.89933267315277,8.9888262738252,0.192626395652337,7.00445621879881,0.883384932920537,5.01590808850293,0.04953560371517,10.0228023072081,0.902751354660672,4.04794539323995,0.028326799894003,12.5281394775076
0.840466281310212,6.0149710982659,0.194328837508028,6.00799614643545,0.859604318286226,6.99714693295293,0.142441790178679,6.97574893009986,0.887779513303999,7.99200466890583,0.269578267128112,6.5084700485607,0.88235294117647,4.02001464486209,0.054695562435501,9.54583799014255,0.897084167146395,3.05880095397352,0.038877162202911,12.0574303023657
0.828932562620424,5.00994219653179,0.325513166345536,5.00015414258189,0.856353816581639,5.97004279600571,0.2557182233613,5.97004279600571,0.879129106135936,6.99526813880126,0.307329365443971,6.24580155789,0.863777089783282,3.04414012820677,0.075335397316821,8.98652843972269,0.898409130367243,2.0227254036569,0.034304668439376,11.5157213739412
0.824241490044958,4.00477842003854,0.402833654463712,4.50585741811175,0.854165659227738,4.98573466476462,0.336191941294519,5.47788873038517,0.869029024123815,5.9691807975934,0.35814455231931,5.95420763018998,0.862745098039216,2.02749979659914,0.097007223942208,8.48950237443743,0.900887268474099,1.05732065023712,0.046022825918108,11.0214918172099
0.819550417469493,2.99961464354528,0.513393705844573,3.99119460500963,0.848798024613748,3.98002853067047,0.415607848352233,5.00713266761769,0.863281369636458,4.97252934230362,0.458316743744449,5.4882103321661,0.854489164086687,1.01055971635214,0.13312693498452,7.99307580643089,0.899872986284346,0.09183365772088,0.049588347633798,10.5506181638751
0.810945407835581,2.01423892100193,0.530107899807322,3.49809248554913,0.83813529098866,2.99572039942939,0.502435987330448,4.49358059914408,0.854630962468395,3.97579281219904,0.541075822077935,4.96308603786169,0.845201238390093,0.035070590804569,0.178534571723426,7.49703462953209,0.874345970741157,-0.450368705282493,0.05549311476009,10.0091559527399
0.812115606936416,1.02867052023121,0.551713551701991,2.98518304431599,0.825352402137383,1.99001426533524,0.540533801590948,3.9586305278174,0.856136786690215,3.03797059133802,0.551266083393736,4.43583487318748,0.835913312693498,-0.981912310676616,0.260061919504644,7.00249219583007,0.84764750495719,-0.945502892074895,0.060230086716558,9.49121412319417
0.790802825947335,0.04354527938343,0.571452793834297,2.01895953757225,0.814688157353901,0.984308131241084,0.560592918107304,2.99572039942939,0.847488081018448,2.01192578753755,0.57306225094348,3.9968488288601,0.817337461300309,-1.50135529206223,0.337461300309597,6.48703158922446,0.837250655628352,-1.46380109103868,0.084753785282857,8.99728610981661
0.777260115606936,-0.685491329479769,0.575559409120103,1.01362235067437,0.809326567373486,0.0641940085592,0.58064750114848,1.96861626248217,0.840289050190738,1.01523179484038,0.59343937058249,3.00096304690344,0.805985552115583,-1.73004209327321,0.455108359133127,5.97324101075241,0.822149729981633,-1.67608761205077,0.115094529272549,8.52704295622139
0.778303147077714,-1.02059730250482,0.592381502890173,-0.031387283236995,0.801834244058125,-1.02710413694722,0.591171208201359,0.984308131241084,0.830190669674912,-0.040163820063368,0.603658557335321,1.97547122939913,0.743034055727554,-2.00236373212749,0.544891640866873,5.52053492285754,0.823357730931952,-1.95863373447737,0.169885870409459,8.03382768167987
0.76171997430957,-1.19766859344894,0.597403982016699,-0.721368015414257,0.791221378660026,-1.30527817403709,0.59424188205711,-0.534950071326676,0.821536859514257,-0.978283802776165,0.612422964755206,1.0085534218792,0.550051599587203,-2.25933395852335,0.552115583075335,5.02290936029358,0.76869066220748,-2.266043477069,0.236318612535066,7.54088653745991
0.626887604367373,-1.53009633911368,0.597454078355812,-0.977610789980732,0.768957482047438,-1.56205420827389,0.601620868492952,-1.04850213980028,0.802699594022984,-1.5063857155983,0.621192476663978,-0.046289206728401,0.311661506707946,-2.51818831922374,0.584107327141383,4.02838619614694,0.612725129526577,-2.45809918035034,0.349316958615459,7.04904191452617
0.340516377649326,-1.74127167630058,0.597504174694926,-1.23385356454721,0.619577963683842,-1.77603423680457,0.606902367078508,-1.26248216833095,0.788202845582405,-1.79989382663114,0.627055832899452,-1.04260036275901,,,0.60577915376677,3.05418170762518,,,0.415716805102479,6.76803092190027
0.187099550417469,-2.01420038535646,0.597561978163134,-1.5295183044316,0.307059829783119,-2.03281027104137,0.606884233177785,-1.51925820256776,0.692425619089427,-2.03716748508639,0.629982406528301,-1.45283111968666,,,0.615067079463364,2.01722270039267,,,0.480948856419675,6.51054031086379
,,0.597658317276814,-2.02229287090559,0.167211187407819,-2.28958630527817,0.606867610435455,-1.7546362339515,0.397809833967991,-2.28026876835489,0.627096668810552,-1.74599893146033,,,0.624355005159959,1.00101058112697,,,0.526386870985133,6.27613147290222
,,,,0.121642206049469,-2.54636233951498,0.605787132184047,-2.05420827389444,0.210597599529026,-2.54953055717198,0.627111982277215,-2.00977339472332,,,0.634674922600619,0.026335059029071,,,0.536900682584501,6.04090024397599
,,,,,,0.606813208733287,-2.52496433666191,0.074197148972807,-3.05176972629731,0.630043660394951,-2.50792897273863,,,0.635706914344685,-0.990219630110179,,,0.578963239123879,5.05287973902793
,,,,,,,,0.0292623332959,-4.04956969158679,0.63152566366863,-3.03543536185722,,,0.643962848297213,-1.96498079467647,,,0.605906594661769,3.97031168617561
,,,,,,,,0.026419132985548,-5.07544434575766,0.640291772584811,-4.03166144307304,,,0.646026831785345,-2.21385780780973,,,0.61885102844559,3.07579703390992
,,,,,,,,0.022122854838545,-6.07205326364005,0.651960634181699,-5.02780244947407,,,0.648090815273478,-2.54572237281023,,,0.62716448733061,2.01633816716467
,,,,,,,,0.017823173698951,-7.01004563413066,,,,,,,,,0.638952091157469,1.0747005126237
,,,,,,,,0.013526895551948,-8.00665455201304,,,,,,,,,0.642601679505103,0.062227582992957
,,,,,,,,0.006329566220534,-9.03265681840611,,,,,,,,,0.649670586730265,-0.479207215110062
,,,,,,,,,,,,,,,,,,0.649740033078392,-0.926615312919761
,,,,,,,,,,,,,,,,,,0.648656304540512,-1.44469420762631
,,,,,,,,,,,,,,,,,,0.659217632062282,-1.98604676663286
,,,,,,,,,,,,,,,,,,0.66395460401875,-2.50398859617863
